"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",9543678,9543678,9543678
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"gld_transactions","Global Load Transactions",2424578,2424578,2424578
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"gst_transactions","Global Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",199584,199584,199584
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",378576,378576,378576
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",165333,170039,168152
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",6,6,6
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",97715,98180,97789
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",1,32655,5231
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gld_transactions","Global Load Transactions",598754,598754,598754
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gst_transactions","Global Store Transactions",174588,174588,174588
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_read_transactions","L2 Read Transactions",173542,174520,173866
